ID,圖檔,分類,備註,限制(EN),原文,EN,JA,KO,SC
lang_67faf04c,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/MainPanel/Buttons/Rebet_Button/Rebet
language",,重新下注,Rebet,再ベット,재베팅,重新下注
lang_677ef6b8,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/MainPanel/Buttons/Undo_Button/Undo
language",,撤銷,Undo,取り消し,취소,撤销
lang_f2eed2ea,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/InfoPanel/Panel/Scroll View/Viewport/Content/Info_Baccarat
language",,百家樂遊戲步驟和投注選項：  發牌：莊家和閒家各發兩張牌。 閒家規則：閒家首兩張牌點數總和為0-5時，需要再抓一張牌。如果是6或7，閒家停牌。 莊家規則：莊家是否抓牌遵循一套更複雜的規則，這取決於閒家的牌和莊家的初始點數。 賠率： 閒家贏：賠率為1:1。 莊家贏：賠率為0.95:1（向賭場支付5%的傭金）。 和局：通常賠率為8:1。,"Baccarat Game Steps and Betting Options:  Deal: Two cards are dealt to both the Player and the Banker. Player's Rule: If the Player has an initial total of 0-5, they draw a third card. If the total is 6 or 7, they stand. Banker's Rule: Banker draws a third card based on a more complicated set of rules, which depends on the Player's cards and Banker's initial total. Outcomes: Player Wins: Pays 1:1. Banker Wins: Pays 0.95:1 (5% commission to the house). Tie: Typically pays 8:1.",バカラのゲーム手順とベッティングオプション：  ディール：プレイヤーとバンカーの両方に2枚のカードが配られます。 プレイヤーのルール：プレイヤーの初期合計が0-5の場合、第三カードを引きます。合計が6または7の場合、スタンドします。 バンカーのルール：バンカーはもう少し複雑な一連のルールに基づいて第三カードを引きます。これはプレイヤーのカードとバンカーの初期合計に依存します。 結果： プレイヤー勝利：1:1で支払われます。 バンカー勝利：0.95:1で支払われます（5％の手数料が家に行きます）。 タイ：通常は8:1で支払われます。,바카라 게임 절차 및 베팅 옵션:  딜 : 플레이어와 뱅커 모두에게 두 장의 카드가 돌아갑니다. 플레이어의 룰 : 플레이어가 처음에 0-5의 합계를 가지고 있으면 세 번째 카드를 뽑습니다. 6 또는 7이면 스탠드합니다. 뱅커의 룰 : 뱅커는 플레이어의 카드와 뱅커의 초기 합계에 따라 좀 더 복잡한 일련의 규칙을 기반으로 세 번째 카드를 뽑습니다. 지급률 : 플레이어 승리 : 1:1로 지급합니다. 뱅커 승리 : 0.95:1로 지급합니다 (집에 5% 수수료를 줍니다). 타이 : 일반적으로 8:1로 지급합니다.,百家乐游戏步骤和投注选项：  发牌：庄家和闲家各发两张牌。 闲家规则：闲家首两张牌点数总和为0-5时，需要再抓一张牌。如果是6或7，闲家停牌。 庄家规则：庄家是否抓牌遵循一套更复杂的规则，这取决于闲家的牌和庄家的初始点数。 赔率： 闲家赢：赔率为1:1。 庄家赢：赔率为0.95:1（向赌场支付5%的佣金）。 和局：通常赔率为8:1。
lang_487aa081,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/InfoPanel/Panel/Scroll View/Viewport/Content/Info_DragonTiger
language",,龍虎鬥遊戲步驟和投注選項：  發牌：龍和虎各發一張牌。 目標：玩家下注哪一方點數更高，龍或虎，或者結果為和局。 規則：遊戲中不再額外發牌。遊戲結果由各方獲得的單張牌決定。 結果： 龍贏：賠率為1:1。 虎贏：賠率為1:1。 和局：通常賠率為8:1或11:1，具體取決於賭場規則。,"Dragon Tiger Game Steps and Betting Options:  Deal: One card each is dealt to the Dragon and the Tiger. Objective: Players bet on which will be higher, the Dragon or the Tiger, or if the result will be a tie. Rules: No additional cards are drawn. The game is determined by a single card dealt to each side. Outcomes: Dragon Wins: Pays 1:1. Tiger Wins: Pays 1:1. Tie: Typically pays 8:1 or 11:1, depending on house rules.",ドラゴンタイガーのゲーム手順とベッティングオプション：  ディール：ドラゴンとタイガーのそれぞれに1枚のカードが配られます。 目的：プレイヤーはドラゴンとタイガーのどちらが高いか、または結果がタイになるかを賭けます。 ルール：追加カードは引かれません。各側に配られた1枚のカードでゲームが決定されます。 結果： ドラゴン勝利：1:1で支払われます。 タイガー勝利：1:1で支払われます。 タイ：通常は8:1または11:1で支払われますが、ハウスルールによります。,"드래곤 타이거 게임 절차 및 베팅 옵션:  딜 : 드래곤과 타이거 각각에게 한 장의 카드가 돌아갑니다. 목표 : 플레이어는 드래곤과 타이거 중 어느 쪽이 더 높을지, 또는 결과가 무승부가 될지에 베팅합니다. 규칙 : 추가 카드는 뽑지 않습니다. 각 측에 딜된 단 한 장의 카드로 게임이 결정됩니다. 결과 : 드래곤 승리 : 1:1로 지급됩니다. 타이거 승리 : 1:1로 지급됩니다. 무승부 : 일반적으로 8:1 또는 11:1로 지급되며, 하우스 룰에 따라 다릅니다.",龙虎斗游戏步骤和投注选项：  发牌：龙和虎各发一张牌。 目标：玩家下注哪一方点数更高，龙或虎，或者结果为和局。 规则：游戏中不再额外发牌。游戏结果由各方获得的单张牌决定。 结果： 龙赢：赔率为1:1。 虎赢：赔率为1:1。 和局：通常赔率为8:1或11:1，具体取决于赌场规则。
lang_4b52f9b9,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/InfoPanel/Panel/Scroll View/Viewport/Content/Info_Sicbo
language",,大小遊戲概覽：  遊戲玩法：玩家押注三個骰子的點數總和為「小」（4-10點）或「大」（11-17點）。 規則：擲三個骰子。如果點數總和落在押注範圍內，則玩家贏。 賠率：贏的賭注通常賠率為1:1。注意：3點或18點的總和通常不包括在投注選項中，押注將輸。,"Big and Small Game Overview:  Gameplay: Players bet on the total of three dice being ""Small"" (4-10) or ""Big"" (11-17). Rules: Three dice are rolled. If the total falls within the bet range, the player wins. Payouts: Winning bets typically pay 1:1. Note: Total of 3 or 18 are usually not included in the betting options and result in a loss.",ビッグアンドスモールゲーム概要：  ゲームプレイ：プレイヤーは3つのサイコロの合計が「スモール」（4-10）または「ビッグ」（11-17）になるかを賭けます。 ルール：3つのサイコロが振られます。合計が賭け範囲内であれば、プレイヤーが勝ちます。 配当：勝利した賭けは通常1:1で支払われます。注意：3または18の合計は通常の賭けオプションに含まれず、敗北となります。,"빅 앤드 스몰 게임 개요:  게임플레이: 플레이어는 세 개의 주사위 합계가 ""스몰""(4-10) 또는 ""빅""(11-17)이 될 것인지에 대해 베팅합니다. 규칙: 세 개의 주사위가 굴러갑니다. 합계가 베팅 범위 내에 있으면 플레이어가 승리합니다. 지급률: 승리 베팅은 일반적으로 1:1로 지급됩니다. 주의: 3 또는 18의 합계는 일반적으로 베팅 옵션에 포함되지 않으며 베팅이 패배합니다.",大小游戏概览：  游戏玩法：玩家押注三个骰子的点数总和为“小”（4-10点）或“大”（11-17点）。 规则：掷三个骰子。如果点数总和落在押注范围内，则玩家赢。 赔率：赢的赌注通常赔率为1:1。注意：3点或18点的总和通常不包括在投注选项中，押注将输。
lang_03a1dc68,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/InfoPanel/Panel/Scroll View/Viewport/Content/Info_ChoHan
language",,丁半遊戲概覽：  遊戲玩法: 玩家押注擲出的骰子點數總和是奇數還是偶數。 規則: 擲一枚或多枚骰子。如果點數總和與押注（奇數或偶數）相匹配，玩家贏。 賠率: 贏的賭注通常賠率為1:1。,"Odd or Even Game Overview:  Gameplay: Players bet on whether the total sum of the dice rolled will be odd or even. Rules: One or more dice are rolled. If the total matches the bet (odd or even), the player wins. Payouts: Winning bets usually pay 1:1.",オッズ・オア・イーブン（奇数または偶数）ゲーム概要：  ゲームプレイ: プレイヤーは、サイコロの合計が奇数または偶数のどちらになるかを賭けます。 ルール: 一つ以上のサイコロが振られます。合計が賭け（奇数または偶数）に合致する場合、プレイヤーが勝ちます。 配当: 勝利した賭けは通常1:1で支払われます。,홀짝 게임 개요:  게임플레이: 플레이어는 주사위를 굴려 나온 합계가 홀수인지 짝수인지에 베팅합니다. 규칙: 하나 이상의 주사위가 굴려집니다. 합계가 베팅(홀수 또는 짝수)과 일치하면 플레이어가 승리합니다. 지급률: 승리 베팅은 일반적으로 1:1로 지급됩니다.,丁半游戏概览：  游戏玩法: 玩家押注掷出的骰子点数总和是奇数还是偶数。 规则: 掷一枚或多枚骰子。如果点数总和与押注（奇数或偶数）相匹配，玩家赢。 赔率: 赢的赌注通常赔率为1:1。
lang_512732cc,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/InfoPanel/Panel/Scroll View/Viewport/Content/Info_Craps
language",,花旗骰遊戲概覽：  遊戲玩法: 玩家押注兩個骰子擲出的結果。 初始擲骰：投注輪的第一次擲骰。如果擲出7或11（自然點），押注「通行線」的玩家贏。如果擲出2、3或12（爛點），「通行線」的押注輸。 點數階段：如果初始擲骰是4、5、6、8、9或10，該數字成為「點數」。擲骰手繼續擲骰，直到他們再次擲出點數（「通行線」押注贏）或擲出7（「通行線」押注輸）。 投注選項：包括通行線、不通行線、來、不來、賠率、位置、區域和各種命題投注。 賠率：根據押注的不同而變化，單次擲骰的賭注通常提供更高的賠率。,"Craps Game Overview:  Gameplay: Players bet on the outcome of the roll of two dice. Come Out Roll: The first roll of the dice in a betting round. If the roll is 7 or 11 (Natural), players betting the Pass line win. If the roll is 2, 3, or 12 (Craps), Pass line bets lose. Point Phase: If the come out roll is 4, 5, 6, 8, 9, or 10, that number becomes the ""point"". The shooter continues to roll the dice until they roll the point number again (winning Pass line bets) or a 7 (losing Pass line bets). Betting Options: Include Pass Line, Don't Pass, Come, Don't Come, Odds, Place, Field, and various proposition bets. Payouts: Vary depending on the bet, with single-roll bets often offering higher payouts.",クラップスゲーム概要：  ゲームプレイ: プレイヤーは2つのサイコロのロールの結果に賭けます。 カムアウトロール: ベッティングラウンドの最初のサイコロのロールです。7または11（ナチュラル）が出ると、パスラインに賭けたプレイヤーが勝ちます。2、3、または12（クラップス）が出ると、パスラインの賭けは負けます。 ポイントフェーズ: カムアウトロールが4、5、6、8、9、または10の場合、その数値が「ポイント」となります。シューターはポイント数を再度ロールする（パスラインの賭けが勝つ）か、7をロールする（パスラインの賭けが負ける）までサイコロを続けてロールします。 ベッティングオプション: パスライン、ドントパス、カム、ドントカム、オッズ、プレース、フィールド、各種プロポジションベットなどが含まれます。 配当: 賭けによって異なり、シングルロールベットはしばしば高い配当を提供します。,"크랩스 게임 개요:  게임플레이: 플레이어는 두 개의 주사위가 굴러간 결과에 베팅합니다. 컴 아웃 롤: 베팅 라운드의 첫 주사위 롤입니다. 7이나 11(내추럴)을 굴리면 패스 라인에 베팅한 플레이어가 승리합니다. 2, 3, 또는 12(크랩스)가 나오면 패스 라인 베팅은 패배합니다. 포인트 페이즈: 컴 아웃 롤이 4, 5, 6, 8, 9, 또는 10인 경우, 그 숫자가 ""포인트""가 됩니다. 슈터는 포인트 숫자를 다시 굴려서 (패스 라인 베팅이 승리) 또는 7을 굴려서 (패스 라인 베팅이 패배)까지 계속 주사위를 굴립니다. 베팅 옵션: 패스 라인, 돈트 패스, 컴, 돈트 컴, 오즈, 플레이스, 필드 및 다양한 프로포지션 베팅을 포함합니다. 지급률: 베팅에 따라 다양하며, 단일 롤 베팅은 종종 더 높은 지급률을 제공합니다.",花旗骰游戏概览：  游戏玩法: 玩家押注两个骰子掷出的结果。 初始掷骰：投注轮的第一次掷骰。如果掷出7或11（自然点），押注“通行线”的玩家赢。如果掷出2、3或12（烂点），“通行线”的押注输。 点数阶段：如果初始掷骰是4、5、6、8、9或10，该数字成为“点数”。掷骰手继续掷骰，直到他们再次掷出点数（“通行线”押注赢）或掷出7（“通行线”押注输）。 投注选项：包括通行线、不通行线、来、不来、赔率、位置、区域和各种命题投注。 赔率：根据押注的不同而变化，单次掷骰的赌注通常提供更高的赔率。
lang_064ac49a,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
__OLVERLAY__CANVAS__/InfoPanel/Panel/Info
language",,玩法介绍,Gameplay Introduction,プレイ方法の紹介,게임 방법 소개,玩法介绍
lang_68a7f6f4,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/DragonTiger_BetSpace/Canvas/Dragon
language",,龍,Dragon,ドラゴン,드래곤,龙
lang_a21044eb,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/DragonTiger_BetSpace/Canvas/Dragon_Button
language",,龍,Dragon,ドラゴン,드래곤,龙
lang_c42043a6,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/DragonTiger_BetSpace/Canvas/Tiger
language",,虎,Tiger,タイガー,타이거,虎
lang_81aeb3a9,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/DragonTiger_BetSpace/Canvas/Tiger_Button
language",,虎,Tiger,タイガー,타이거,虎
lang_f7317718,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/DragonTiger_BetSpace/Canvas/Tie_Button
language",,和局,TIE,引き分け,무승부,和局
lang_93ba218f,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Baccarat_BetSpace/Canvas/Player
language",,閒家,Player,プレイヤー,플레이어,闲家
lang_a3445922,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Baccarat_BetSpace/Canvas/Player_Button
language",,閒家,Player,プレイヤー,플레이어,闲家
lang_09d4efc7,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Baccarat_BetSpace/Canvas/Banker
language",,莊家,Banker,バンカー,뱅커,庄家
lang_cbaba2fa,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Baccarat_BetSpace/Canvas/Banker_Button
language",,莊家,Banker,バンカー,뱅커,庄家
lang_039c3429,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Baccarat_BetSpace/Canvas/Tie_Button
language",,和局,TIE,引き分け,무승부,和局
lang_04d6daad,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/SicBo_BetSpace/Canvas/Small_Button
language",,小,Small,小,작은,小
lang_cd121f08,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/SicBo_BetSpace/Canvas/Big_Button
language",,大,Big,大,큰,大
lang_bdf4b290,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/SicBo_BetSpace/Canvas/Tie_Button
language",,豹子,Triple,トリプル,트리플,豹子
lang_2e347bb0,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/ChoHan_BetSpace/Canvas/Odd_Button
language",,單,Odd,奇数,홀수,单
lang_e136d8c9,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/ChoHan_BetSpace/Canvas/Even_Button
language",,雙,Even,偶数,짝수,双
lang_7b1dd7a6,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Craps_BetSpace/Canvas/Small_Button
language",,小,Small,小,작은,小
lang_b5dd2707,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Craps_BetSpace/Canvas/Big_Button
language",,大,Big,大,큰,大
lang_43d7146f,,,"Assets/_StripCasino/Scenes/_old/BaccaratMobile.unity
_Cloth_/BetSpaces/Craps_BetSpace/Canvas/Tie_Button
language",,和局,TIE,引き分け,무승부,和局
lang_01f42d43,,,"Assets/_StripCasino/Scenes/_old/EuropeanRoulette_mobile.unity
_CANVAS_/UI/BalancePanel/Balance
language",,餘額,Balance,残高,잔액,余额
lang_6fe8d766,,,"Assets/_StripCasino/Scenes/_old/EuropeanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/UndoButton/Undo
language",,撤銷,Undo,取り消し,취소,撤销
lang_3edddf10,,,"Assets/_StripCasino/Scenes/_old/EuropeanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/ClearButton/Clear
language",,清除,Clear,クリア,지우기 ,清除
lang_15954d97,,,"Assets/_StripCasino/Scenes/_old/EuropeanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/RollButton/Deal
language",,下注,Deal,ディール,딜,下注
lang_9c0f17b0,,,"Assets/_StripCasino/Scenes/_old/EuropeanRoulette_mobile.unity
_CANVAS_/UI/UIpanel/RebetButton/Rebet
language",,重新下注,Rebet,再ベット,재베팅,重新下注
