id,file,line,literal,note
cs_05c69c6d,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,896,"""Hetty_CG_01_1""",Hardcoded C# string. Manual review needed.
cs_92e553d3,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,899,"""Hetty_CG_02_1""",Hardcoded C# string. Manual review needed.
cs_a41399b9,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,902,"""Hetty_CG_03_1""",Hardcoded C# string. Manual review needed.
cs_c04ddc77,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,905,"""Hetty_CG_04_1""",Hardcoded C# string. Manual review needed.
cs_7a00b035,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,908,"""Hetty_CG_05_1""",Hardcoded C# string. Manual review needed.
cs_1ae639bc,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,911,"""Hetty_CG_06_1""",Hardcoded C# string. Manual review needed.
cs_e42222da,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,914,"""Hetty_CG_07_1""",Hardcoded C# string. Manual review needed.
cs_0e83604c,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,917,"""Hetty_CG_08_1""",Hardcoded C# string. Manual review needed.
cs_3715576b,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,920,"""Hetty_CG_09_1""",Hardcoded C# string. Manual review needed.
cs_42eeb9cc,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,923,"""Hetty_CG_10_1""",Hardcoded C# string. Manual review needed.
cs_a05c9595,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,939,"""VSAlice""",Hardcoded C# string. Manual review needed.
cs_eba49630,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,947,"""replay""",Hardcoded C# string. Manual review needed.
cs_a7b1e6eb,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,953,"""Alice_CG_01_1""",Hardcoded C# string. Manual review needed.
cs_553627eb,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,956,"""Alice_CG_02_1""",Hardcoded C# string. Manual review needed.
cs_09559cb3,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,959,"""Alice_CG_03_1""",Hardcoded C# string. Manual review needed.
cs_940b52d2,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,962,"""Alice_CG_04_1""",Hardcoded C# string. Manual review needed.
cs_cd837c2e,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,965,"""Alice_CG_05_1""",Hardcoded C# string. Manual review needed.
cs_8e3b532a,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,968,"""Alice_CG_06_1""",Hardcoded C# string. Manual review needed.
cs_1ddc3e41,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,971,"""Alice_CG_07_1""",Hardcoded C# string. Manual review needed.
cs_1ab51c35,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,974,"""Alice_CG_08_1""",Hardcoded C# string. Manual review needed.
cs_2ee9e079,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,977,"""Alice_CG_09_1""",Hardcoded C# string. Manual review needed.
cs_0a040685,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,980,"""Alice_CG_10_1""",Hardcoded C# string. Manual review needed.
cs_0787d12c,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1023,"""调酒成功！""",Hardcoded C# string. Manual review needed.
cs_4ac990cc,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1100,"""Wine_5""",Hardcoded C# string. Manual review needed.
cs_697a595b,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1104,"""Wine_2""",Hardcoded C# string. Manual review needed.
cs_fd693f79,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1108,"""Wine_4""",Hardcoded C# string. Manual review needed.
cs_cf55b819,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1112,"""Wine_1""",Hardcoded C# string. Manual review needed.
cs_c59850ce,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1117,"""Wine_3""",Hardcoded C# string. Manual review needed.
cs_d2eb99e0,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1121,"""Wine_6""",Hardcoded C# string. Manual review needed.
cs_638cac72,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1128,"""Lemon""",Hardcoded C# string. Manual review needed.
cs_dd92b4f1,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1132,"""Wine_7""",Hardcoded C# string. Manual review needed.
cs_b63ad310,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1136,"""Mint""",Hardcoded C# string. Manual review needed.
cs_aad9bb68,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1140,"""Ice""",Hardcoded C# string. Manual review needed.
cs_4d90f8b4,Assets/_StripCasino/Scripts/Bar/BarCounterManager.cs,1145,"""Wine_8""",Hardcoded C# string. Manual review needed.
cs_309f0320,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,21,"""配方商店""",Hardcoded C# string. Manual review needed.
cs_768f0df7,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,30,"""未找到商店条目 Wine_Number=""",Hardcoded C# string. Manual review needed.
cs_0177abd1,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,41,"""已解锁：""",Hardcoded C# string. Manual review needed.
cs_4ff6da64,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,49,"""钱不够，需：""",Hardcoded C# string. Manual review needed.
cs_c1fbbd4c,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,74,"""【成就检测】已买齐所有特殊酒配方""",Hardcoded C# string. Manual review needed.
cs_8b1dcde5,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,82,"""购买并解锁：""",Hardcoded C# string. Manual review needed.
cs_e60327c6,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,105,"""配方商店条目""",Hardcoded C# string. Manual review needed.
cs_60dca0c1,Assets/_StripCasino/Scripts/Bar/RecipeManager.cs,112,"""魔女之吻""",Hardcoded C# string. Manual review needed.
cs_e6b4d124,Assets/_StripCasino/Scripts/ChoHanGame.cs,38,"""骰子总和""",Hardcoded C# string. Manual review needed.
cs_c602e92c,Assets/_StripCasino/Scripts/ChoHanGame.cs,61,"""丁""",Hardcoded C# string. Manual review needed.
cs_acf4a31c,Assets/_StripCasino/Scripts/ChoHanGame.cs,68,"""半""",Hardcoded C# string. Manual review needed.
cs_592df2cc,Assets/_StripCasino/Scripts/CrapsGame.cs,38,"""显示花旗骰点数""",Hardcoded C# string. Manual review needed.
cs_4c8f94c1,Assets/_StripCasino/Scripts/CrapsGame.cs,71,"""骰子总和""",Hardcoded C# string. Manual review needed.
cs_da405d66,Assets/_StripCasino/Scripts/CrapsGame.cs,185,"""Point""",Hardcoded C# string. Manual review needed.
cs_fc5278c2,Assets/_StripCasino/Scripts/CrapsGame.cs,251,"""Point""",Hardcoded C# string. Manual review needed.
cs_2d3c0e91,Assets/_StripCasino/Scripts/CrapsGame.cs,294,"""F2""",Hardcoded C# string. Manual review needed.
cs_e3d8e928,Assets/_StripCasino/Scripts/CrapsGame.cs,301,"""Point""",Hardcoded C# string. Manual review needed.
cs_c68412e1,Assets/_StripCasino/Scripts/Save/GameFlowData.cs,8,"""cg""",Hardcoded C# string. Manual review needed.
cs_dff9076e,Assets/_StripCasino/Scripts/Save/GameFlowData.cs,8,"""replay""",Hardcoded C# string. Manual review needed.
cs_488639f7,Assets/_StripCasino/Scripts/Save/SaveData.cs,9,"""CurrentPlayer""",Hardcoded C# string. Manual review needed.
cs_22a66608,Assets/_StripCasino/Scripts/Save/SaveData.cs,44,"""yyyy-MM-dd HH:mm:ss""",Hardcoded C# string. Manual review needed.
cs_be26e435,Assets/_StripCasino/Scripts/Save/SaveData.cs,50,"""yyyy-MM-dd HH:mm:ss""",Hardcoded C# string. Manual review needed.
cs_5f8d9a57,Assets/_StripCasino/Scripts/Save/SaveManager.cs,13,""".json""",Hardcoded C# string. Manual review needed.
cs_7869741a,Assets/_StripCasino/Scripts/Save/SaveManager.cs,18,"""yyyy-MM-dd HH:mm:ss""",Hardcoded C# string. Manual review needed.
cs_cee66657,Assets/_StripCasino/Scripts/Save/SaveManager.cs,21,"""保存到：""",Hardcoded C# string. Manual review needed.
cs_44647613,Assets/_StripCasino/Scripts/Save/SaveManager.cs,34,"""未找到存档：""",Hardcoded C# string. Manual review needed.
cs_7e14282e,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,9,"""CurrentPlayer1""",Hardcoded C# string. Manual review needed.
cs_f01b9769,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,9,"""CurrentPlayer2""",Hardcoded C# string. Manual review needed.
cs_06197b74,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,9,"""CurrentPlayer3""",Hardcoded C# string. Manual review needed.
cs_7fba460c,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,16,"""存档显示略缩图""",Hardcoded C# string. Manual review needed.
cs_bc199ec5,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,25,"""存档显示各个女荷官进度""",Hardcoded C# string. Manual review needed.
cs_2bfa6517,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,47,"""Money: {data.balance}""",Hardcoded C# string. Manual review needed.
cs_23ada8a0,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,48,"""{data.balance}""",Hardcoded C# string. Manual review needed.
cs_b89c1e5d,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,56,"""language""",Hardcoded C# string. Manual review needed.
cs_0748518b,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,61,"""クリア日：{data.DayCount}日目""",Hardcoded C# string. Manual review needed.
cs_c17e84ce,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,62,"""{data.DayCount}日目""",Hardcoded C# string. Manual review needed.
cs_0ea27622,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,68,"""通关日：第{data.DayCount}天""",Hardcoded C# string. Manual review needed.
cs_7b860db5,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,69,"""第{data.DayCount}天""",Hardcoded C# string. Manual review needed.
cs_3b3b67e1,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,75,"""通關日：第{data.DayCount}天""",Hardcoded C# string. Manual review needed.
cs_4912e661,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,76,"""第{data.DayCount}天""",Hardcoded C# string. Manual review needed.
cs_f94594e0,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,82,"""Cleared On: Day {data.DayCount}""",Hardcoded C# string. Manual review needed.
cs_34ca1c88,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,83,"""Day {data.DayCount}""",Hardcoded C# string. Manual review needed.
cs_23539c5a,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,89,"""클리어 날짜: {data.DayCount}일째""",Hardcoded C# string. Manual review needed.
cs_eb9c7b36,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,90,"""{data.DayCount}일째""",Hardcoded C# string. Manual review needed.
cs_c6aa7c2e,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,127,"""Unnamed""",Hardcoded C# string. Manual review needed.
cs_6b8586c7,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,154,"""StartStory_01""",Hardcoded C# string. Manual review needed.
cs_fdccc683,Assets/_StripCasino/Scripts/Save/SaveSlotUI.cs,158,"""StartWork_01""",Hardcoded C# string. Manual review needed.
cs_b3bbca43,Assets/_StripCasino/Scripts/Shop/ShopItemButton.cs,9,"""0..3 对应四个槽位""",Hardcoded C# string. Manual review needed.
cs_43173685,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,14,"""皮肤""",Hardcoded C# string. Manual review needed.
cs_b118a582,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,16,"""BlendedSkin""",Hardcoded C# string. Manual review needed.
cs_3ede885b,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,28,"""BlendedSkin""",Hardcoded C# string. Manual review needed.
cs_79cf98d7,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,40,"""Item_1/Item_{Item_1}""",Hardcoded C# string. Manual review needed.
cs_452950f0,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,41,"""Item_2/Item_{Item_2}""",Hardcoded C# string. Manual review needed.
cs_c70c8cad,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,42,"""Item_3/Item_{Item_3}""",Hardcoded C# string. Manual review needed.
cs_dc5bb0ee,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,43,"""Item_4/Item_{Item_4}""",Hardcoded C# string. Manual review needed.
cs_8f0bc98d,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,117,"""Item_1/Item_""",Hardcoded C# string. Manual review needed.
cs_f2c82555,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,118,"""Item_2/Item_""",Hardcoded C# string. Manual review needed.
cs_5094c9d5,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,119,"""Item_3/Item_""",Hardcoded C# string. Manual review needed.
cs_59c807de,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,120,"""Item_4/Item_""",Hardcoded C# string. Manual review needed.
cs_7389c0f0,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,129,"""Skin not found: """,Hardcoded C# string. Manual review needed.
cs_30c8a2ab,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,140,"""帧事件""",Hardcoded C# string. Manual review needed.
cs_fb5e97af,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,148,"""商品介绍配置""",Hardcoded C# string. Manual review needed.
cs_5ba98ab3,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,150,"""当前四个物品(1..8)""",Hardcoded C# string. Manual review needed.
cs_4f21b960,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,174,"""Intro index out of range: """,Hardcoded C# string. Manual review needed.
cs_b1d03ff7,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,193,"""商品介绍配置""",Hardcoded C# string. Manual review needed.
cs_87e48bd9,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,214,"""余额不足：当前 {storedBalance}G，需要 {price}G，无法购买 Item_{id}""",Hardcoded C# string. Manual review needed.
cs_0d1e1eb7,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,247,"""购买成功：Item_{id} 价格 {price}G""",Hardcoded C# string. Manual review needed.
cs_7811c1e3,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,249,"""库存｜紫色心情:{data.Item_1}  占卜水晶:{data.Item_2}  均衡徽章:{data.Item_3}  魔眼石:{data.Item_4}  """,Hardcoded C# string. Manual review needed.
cs_d2e546b6,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,250,"""酒瓶:{data.Item_5}  藏宝图残片:{data.Item_6}  幸运币:{data.Item_7}  透视药水:{data.Item_8}""",Hardcoded C# string. Manual review needed.
cs_2c9f37da,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,251,"""绿色心情:{data.Item_9}  匕首:{data.Item_10}  黑棋子:{data.Item_11}  魔眼药水:{data.Item_12}""",Hardcoded C# string. Manual review needed.
cs_910db2aa,Assets/_StripCasino/Scripts/Shop/ShopManagerSkin.cs,252,"""空瓶:{data.Item_13}  白棋子:{data.Item_14}  厄运币:{data.Item_15}  皇室家徽:{data.Item_16}""",Hardcoded C# string. Manual review needed.
cs_a3df1328,Assets/_StripCasino/Scripts/SicBoGame.cs,44,"""骰子总和""",Hardcoded C# string. Manual review needed.
cs_5344c5c3,Assets/_StripCasino/Scripts/SicBoGame.cs,70,"""大""",Hardcoded C# string. Manual review needed.
cs_1ca9b2de,Assets/_StripCasino/Scripts/SicBoGame.cs,77,"""小""",Hardcoded C# string. Manual review needed.
cs_c2a51ded,Assets/_StripCasino/Scripts/SicBoGame.cs,86,"""和""",Hardcoded C# string. Manual review needed.
cs_bb6cf294,Assets/_StripCasino/Scripts/Spine/AudioManager.cs,25,"""AudioSource is missing or destroyed.""",Hardcoded C# string. Manual review needed.
cs_8348ed8a,Assets/_StripCasino/Scripts/Spine/AudioManager.cs,43,"""效果音""",Hardcoded C# string. Manual review needed.
